company,account,amount,date,units,fund,
sbl,1301042216,0,12/31/2014,1214.99,gn,
sbl,120527JOSDIN,0,12/31/2014,215.0192,gn,
sbl,3030001149,0,12/31/2014,143.79,gn,
sbl,3020001566,0,12/31/2014,85.86,gn,
sbl,5500368966,0,12/31/2014,79.76,gn,
sbl,3030001148,0,12/31/2014,28.13,gn,
sbl,3030001175,0,12/31/2014,13.35,gn,
sbl,3270000065,0,12/31/2014,7.33,gn,
sbl,3270000064,0,12/31/2014,7.33,gn,
sbl,3270000067,0,12/31/2014,7.33,gn,
sbl,3270000068,0,12/31/2014,7.33,gn,
sbl,3270000069,0,12/31/2014,7.33,gn,
sbl,3270000070,0,12/31/2014,7.33,gn,
sbl,3270000071,0,12/31/2014,7.33,gn,
sbl,1301012081,0,12/31/2014,5.73,gn,
sbl,5500283073,0,12/31/2014,2.199,gn,
sbl,1301054603,0,12/31/2014,1.5,gn,
sbl,120527DOUBER,0,12/31/2014,1.29,gn,
sbl,5500283081,0,12/31/2014,1.19,gn,
sbl,120527GREGAI,0,12/31/2014,1.1,gn,
sbl,3060001288,0,12/31/2014,0.91,gn,
sbl,3060001289,0,12/31/2014,0.91,gn,
sbl,5500271622,0,12/31/2014,8.19E-12,gn,
sbl,1301190932,0,12/31/2014,4.55E-12,gn,
sbl,3020002579,0,12/31/2014,4.36E-12,gn,
sbl,3020002578,0,12/31/2014,4.36E-12,gn,
sbl,5500029831,0,12/31/2014,1.89E-12,gn,
sbl,1301106665,0,12/31/2014,7.39E-13,gn,
sbl,3010013233,0,12/31/2014,4.37E-13,gn,
sbl,3050001058,0,12/31/2014,4.00E-13,gn,
sbl,3010006463,0,12/31/2014,2.84E-13,gn,
sbl,3010013350,0,12/31/2014,2.20E-13,gn,
sbl,3060001280,0,12/31/2014,2.13E-13,gn,
sbl,3010013252,0,12/31/2014,7.11E-14,gn,
sbl,1301222685,0,12/31/2014,3.44E-15,gn,
sbl,3010010964,0,12/31/2014,-7.94E-15,gn,
sbl,3050001042,0,12/31/2014,-1.07E-13,gn,
sbl,3050001044,0,12/31/2014,-1.07E-13,gn,
sbl,3060001279,0,12/31/2014,-1.42E-13,gn,
sbl,1301034662,0,12/31/2014,-1.85E-13,gn,
sbl,3030001174,0,12/31/2014,-2.56E-13,gn,
sbl,3050001045,0,12/31/2014,-3.69E-13,gn,
sbl,1301043400,0,12/31/2014,-6.54E-13,gn,
sbl,3010009238,0,12/31/2014,-1.14E-12,gn,
sbl,1301217195,0,12/31/2014,-1.31E-12,gn,
sbl,1301119337,0,12/31/2014,-1.45E-12,gn,
sbl,3030001150,0,12/31/2014,-2.61E-12,gn,
sbl,2370003227,0,12/31/2014,-3.18E-12,gn,
sbl,1301142942,0,12/31/2014,-3.27E-11,gn,
sbl,1301064883,0,12/31/2014,21.75,gn,
sbl,1301182970,0,12/31/2014,39.08,gn,
sbl,1301010682,0,12/31/2014,138.28,gn,
sbl,5500260930,0,12/31/2014,3.66,gn,
sbl,5500362330,0,12/31/2014,0.86,gn,
sbl,3010006225,0,12/31/2014,275.97,gn,
sbl,1301051264,0,12/31/2014,2254.89,gn,
sbl,5500267192,0,12/31/2014,1.3,gn,
sbl,1301226880,0,12/31/2014,515,gn,
sbl,1300068182,0,12/31/2014,1.07,gn,
sbl,1301003073,0,12/31/2014,88.45,gn,
sbl,1301009097,0,12/31/2014,616.02,gn,
sbl,1301010188,0,12/31/2014,20.339,gn,
sbl,1301010542,0,12/31/2014,695.054,gn,
sbl,1301011648,0,12/31/2014,0.25,gn,
sbl,1301012079,0,12/31/2014,6455.57,gn,
sbl,1301012080,0,12/31/2014,1814.31,gn,
sbl,1301017597,0,12/31/2014,861.255,gn,
sbl,1301018288,0,12/31/2014,5.95,gn,
sbl,1301018922,0,12/31/2014,846.186,gn,
sbl,1301019775,0,12/31/2014,108.38,gn,
sbl,1301019864,0,12/31/2014,45.27,gn,
sbl,1301020121,0,12/31/2014,4.78,gn,
sbl,1301023116,0,12/31/2014,4950.56,gn,
sbl,1301025975,0,12/31/2014,66.98,gn,
sbl,1301029737,0,12/31/2014,3.27,gn,
sbl,1301029738,0,12/31/2014,7.8,gn,
sbl,1301030897,0,12/31/2014,711.39,gn,
sbl,1301034263,0,12/31/2014,1914.49,gn,
sbl,1301042217,0,12/31/2014,1293.15,gn,
sbl,1301042380,0,12/31/2014,7.45,gn,
sbl,1301044286,0,12/31/2014,2751.14,gn,
sbl,1301046826,0,12/31/2014,7.45,gn,
sbl,1301049562,0,12/31/2014,102.84,gn,
sbl,1301050370,0,12/31/2014,4890.98,gn,
sbl,1301050379,0,12/31/2014,583.653,gn,
sbl,1301050380,0,12/31/2014,1623.772,gn,
sbl,1301051727,0,12/31/2014,5458.93,gn,
sbl,1301054291,0,12/31/2014,636.42,gn,
sbl,1301054586,0,12/31/2014,29.58,gn,
sbl,1301054589,0,12/31/2014,1814.03,gn,
sbl,1301054592,0,12/31/2014,154.81,gn,
sbl,1301054604,0,12/31/2014,7.9,gn,
sbl,1301054694,0,12/31/2014,66.47,gn,
sbl,1301055806,0,12/31/2014,477.4,gn,
sbl,1301056237,0,12/31/2014,0.96,gn,
sbl,1301057893,0,12/31/2014,74.95,gn,
sbl,1301059141,0,12/31/2014,74.23,gn,
sbl,1301060462,0,12/31/2014,58.61,gn,
sbl,1301060463,0,12/31/2014,53.19,gn,
sbl,1301062602,0,12/31/2014,102.43,gn,
sbl,1301063559,0,12/31/2014,11.19,gn,
sbl,1301065438,0,12/31/2014,3506.55,gn,
sbl,1301066513,0,12/31/2014,36.51,gn,
sbl,1301069174,0,12/31/2014,561.31,gn,
sbl,1301069810,0,12/31/2014,786.77,gn,
sbl,1301071508,0,12/31/2014,882.13,gn,
sbl,1301071679,0,12/31/2014,14.93,gn,
sbl,1301072350,0,12/31/2014,118.9,gn,
sbl,1301074382,0,12/31/2014,154.84,gn,
sbl,1301074872,0,12/31/2014,254.52,gn,
sbl,1301076345,0,12/31/2014,1110.68,gn,
sbl,1301076347,0,12/31/2014,2930.48,gn,
sbl,1301077307,0,12/31/2014,33.21,gn,
sbl,1301077336,0,12/31/2014,6084.81,gn,
sbl,1301080952,0,12/31/2014,952.78,gn,
sbl,1301080953,0,12/31/2014,1795.08,gn,
sbl,1301080954,0,12/31/2014,1721.93,gn,
sbl,1301082954,0,12/31/2014,2693.95,gn,
sbl,1301083236,0,12/31/2014,277.04,gn,
sbl,1301086415,0,12/31/2014,2144.25,gn,
sbl,1301088592,0,12/31/2014,36.64,gn,
sbl,1301089780,0,12/31/2014,1426.17,gn,
sbl,1301089934,0,12/31/2014,411.92,gn,
sbl,1301089935,0,12/31/2014,1192.09,gn,
sbl,1301091348,0,12/31/2014,1124.17,gn,
sbl,1301091394,0,12/31/2014,1308.07,gn,
sbl,1301091749,0,12/31/2014,1749.16,gn,
sbl,1301092878,0,12/31/2014,17.19,gn,
sbl,1301093131,0,12/31/2014,963.61,gn,
sbl,1301093960,0,12/31/2014,34.34,gn,
sbl,1301093991,0,12/31/2014,1640.28,gn,
sbl,1301094293,0,12/31/2014,24.87,gn,
sbl,1301095722,0,12/31/2014,2272.84,gn,
sbl,1301096459,0,12/31/2014,7.155,gn,
sbl,1301097193,0,12/31/2014,182.89,gn,
sbl,1301101508,0,12/31/2014,6029.32,gn,
